country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
United States of America,501-1000,network breach,,2024-01,0,2024-01,,,,unknown,not configured,AnyDesk|SMBexec,,install service|unprotected systems|logs missing,,No,unknown,No Impact,,,,,,
United States of America,251-500,network breach,,2023-12,22,2024-01,2024-01,1799743,,comped creds,,Rclone|ScreenConnect|Cobalt Strike|Wireshark|Advanced IP Scanner|LogMeIn|7zip|curl|wget,RDP|cmd.exe|PowerShell|nltest.exe|net.exe|whoami.exe|systeminfo.exe|WMI|Task Scheduler|certutil.exe|copy.exe|tasklist.exe|rundll32.exe|conhost.exe|runas|hostname.exe,Wasabi.com|MFA redirected|create accounts|reset passwords|modify domain groups|install service|VMware Horizon|modify firewall rules|exposed internal services|create scheduled task,ScreenConnect|Advanced IP Scanner|install service,Yes - Internal only,External Remote Services|Valid Accounts,Account Access Removal,Yes,259,2024-01,1869578,,
Egypt,251-500,network breach,,2024-01,0,2024-01,,,,unknown,,Impacket|Python,RDP,SAM dump|unprotected systems,,Yes - Internal only,unknown,No Impact,No evidence,,,,,
United Kingdom,251-500,ransomware,Hunters Intl,2023-12,18,2024-01,2023-12,252,1523201,comped creds,cleared,Advanced Port Scanner|ADFind|mimikatz|LaZagne|AnyDesk|WinZip|SoftPerfect Network Scanner|CredentialsFileView|WebBrowserPassView|WizTree|GMER|Advanced IP Scanner|WinRAR,RDP|vssadmin.exe|PowerShell,exposed RDP|malicious scripts|delete Shadow Copy|disable protection|add exclusions|browse network|logs cleared|logs missing|install service|remote encryption|unprotected systems|delete files,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,Yes,1900,2024-01,1524956,-1502,16
United States of America,1-100,data exfiltration,,2024-01,6,2024-01,,,,exploit vulnerability,cleared,mimikatz|ScreenConnect|Advanced IP Scanner|Total Software Deployment|fgdump|HideUL|WinRAR|Total Network Inventory|Sophos Removal Tool|Chrome Browser,RDP|cmd.exe|net.exe|nslookup.exe|msiexec.exe|bcdedit.exe|wevtutil.exe|mmc.exe|virtmgmt.msc|pcalua.exe|regsvr32.exe|quser.exe|Edge browser|ping.exe|PowerShell|VMConnect,create accounts|malicious scripts|remove protection|lsass dump|SAM dump|logs cleared|create archive|unprotected systems|install service|reset passwords|delete files|modify local groups|modify boot settings|easyupload.io|logs missing,,Yes - Internal only,Exploit Public-Facing Application,Data Manipulation|Account Access Removal,Yes,19.25,2024-01,,-6987,
India,1-100,network breach,,2024-01,3,2024-01,,,,exploit vulnerability,,Cobalt Strike|AnyDesk,cmd.exe|whoami.exe|WMI|hostname.exe|ver.exe|net.exe|tasklist.exe|echo.exe,exposed internal services|brute force attack|malicious scripts|delete network shares|map external share,,No,Exploit Public-Facing Application,No Impact,,,,,,
United States of America,251-500,network breach,,2024-01,5,2024-01,2024-01,0,393872,comped creds,,mimikatz|Flash Player|Dameware Remote Everywhere|Impacket/atexec|Python,RDP|DCSync|PsExec|cmd.exe|query.exe|svchost.exe|netsh.exe|reg.exe|mmc.exe|dsa.msc|ping.exe|netdom.exe,unprotected systems|SSH|exposed internal services|enable RDP|modify firewall rules|MFA unavailable|disable restricted admin|install service|kerberoast|create scheduled task|delete task|modify registry,,Yes - Internal only,Valid Accounts,No Impact,,,,,,
India,1-100,network breach,,2024-01,0,2024-01,,,,brute force attack,,Impacket/atexec|TS Plus|Python,RDP|dism.exe|net.exe|spoolsv.exe|taskkill.exe|PowerShell|nltest.exe|rundll32.exe|ping.exe|svchost.exe|taskmgr.exe|systeminfo.exe|cmd.exe,MFA unavailable|brute force attack|exposed RDP|exposed internal services|SAM dump|delete files|create scheduled task,,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
United States of America,5000+,network breach,,2023-12,22,2024-01,2024-01,1923213,-536,brute force attack,,Cobalt Strike|SoftPerfect Network Scanner|Rubeus|Net-GPPPassword,RDP|RDWeb|PowerShell|nltest.exe|cmd.exe|ping.exe|taskmgr.exe|notepad.exe|mspaint.exe|wordpad.exe|net.exe|mstsc.exe,unprotected systems|brute force attack|SMB|browse network|exposed RDP|MFA unavailable,,Yes - Both,External Remote Services|Valid Accounts,No Impact,,,,,,
Honduras,1-100,network breach,,2024-01,2,2024-01,,,,unknown,,SMBexec|Impacket/smbexec|Impacket/atexec|Python,RDP|PowerShell|winrm.exe|whoami.exe|net.exe|ipconfig.exe|cmd.exe|tasklist.exe|rundll32.exe|comsvcs.dll|mmc.exe,create accounts|lsass dump|install service|unprotected systems|modify domain groups|create scheduled task|brute force attack|kali (hostname),,Yes - Internal only,unknown,No Impact,,,,,,
United States of America,251-500,network breach,,2024-01,0,2024-01,,,,exploit vulnerability,,PowerView|SoftPerfect Network Scanner|Meterpreter|Foxit Reader|Metasploit,RDP|cmd.exe|net.exe|hostname.exe|PowerShell|rundll32.exe|notepad.exe|smartscreen.exe|ipconfig.exe|nslookup.exe|mshta.exe|query.exe|control.exe|whoami.exe|wusa.exe|sc.exe|nltest.exe|iexplore.exe|oleview.exe|regsvr32.exe|quser.exe|taskmgr.exe|ping.exe|runas,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|create accounts|modify local groups|delete files|install service|kerberoast|asreproast|browse network|SMB,,Yes - Both,Exploit Public-Facing Application,Data Manipulation,,,,,,
United States of America,101-250,network breach,,2024-01,3,2024-01,2024-01,261673,-603,unknown,limited|cleared,ScreenConnect|Kaseya Agent|Splashtop|Impacket/wmiexec|Impacket/atexec|wget|Python,RDP|PowerShell|net.exe|nltest.exe|hostname.exe|ping.exe|certutil.exe|pushd.exe|cmd.exe|Task Scheduler|winrm.exe|quser.exe|taskkill.exe|mmc.exe|mstsc.exe|rundll32.exe|wevtutil.exe|taskmgr.exe|WMI,logs missing|logs cleared|create accounts|modify domain groups|delete users|create scheduled task|delete files|brute force attack,,Yes - Internal only,unknown,Data Manipulation|Account Access Removal,,,,,,
Spain,1-100,network breach,,2024-01,0,2024-01,,,,brute force attack,cleared,,RDP|winrm.exe|PowerShell|reg.exe|arp.exe|net.exe,exposed RDP|brute force attack|modify registry|enable remote assistance|enable RDP|disable NLA|wdigest enabled|logs cleared|logs missing,,Yes - External only,External Remote Services|Valid Accounts,No Impact,,,,,,
United States of America,1-100,ransomware,LockBit,2023-12,30,2024-01,,,,brute force attack,not licensed|cleared,AnyDesk|GMER|SoftPerfect Network Scanner|mimikatz|IE PassView|Mail PassView|Network Password Recovery|Router PassView|WebBrowserPassView|WirelessKeyView|Dialupass,RDP|PowerShell|PsExec|wscript.exe|cmd.exe|reg.exe|notepad.exe|wevtutil.exe|net.exe|vssadmin.exe|WMI|bcdedit.exe|mshta.exe|ping.exe|fsutil.exe,brute force attack|delete Shadow Copy|MFA unavailable|exposed internal services|logs missing|install service|malicious scripts|lsass dump|SAM dump|modify registry|wdigest enabled|enable RDP|logs cleared|start services|delete registry keys|delete files|exposed RDP,,Yes - External only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,,,,,,
Germany,251-500,network breach,,2024-01,0,2024-01,,,,exploit vulnerability,,Cobalt Strike,RDP|PowerShell|cmd.exe|rundll32.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|unprotected systems|SMB,,Yes - Internal only,Exploit Public-Facing Application,No Impact,,,,,,
United States of America,101-250,data extortion,BianLian,2024-01,11,2024-01,,,,supply chain compromise,retention,WinSCP|ScreenConnect|Advanced Port Scanner|Ameta Remote Support,RDP|PowerShell|Task Scheduler|ping.exe|quser.exe|net.exe|cmd.exe|GPO|gpupdate.exe|gpedit.msc,create scheduled task|logs missing|lsass dump|disable protection|Veeam pw dump|create accounts|MFA unavailable|eyeincloud.com|browse network|backdoor,,Yes - Internal only,Trusted Relationship|Valid Accounts,Financial Theft,Yes,12,2024-01,693637,226820,
United States of America,501-1000,ransomware,Cactus,2023-12,21,2024-01,2023-12,0,1801675,comped creds,unavailable,OpenSSH|DWService|PetitPotam,RDP|PowerShell|reg.exe|net.exe|cmd.exe|ping.exe|ipconfig.exe|notepad.exe|iexplore.exe|WMI|netsh.exe|gpmc.msc|nltest.exe|query.exe|mstsc.exe|whoami.exe|icacls.exe|Task Scheduler|taskmgr.exe|tracert.exe|DCSync,logs missing|reverse proxy|delete registry keys|create accounts|modify local groups|enable RDP|modify registry|modify firewall rules|disable restricted admin|malicious scripts|reset passwords|vulnerable systems|create scheduled task,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Destruction|Account Access Removal,Yes,170,,,,
India,251-500,ransomware,Hunters Intl,2023-10,107,2024-01,,,,unknown,encrypted|cleared,SoftPerfect Network Scanner|Ngrok|Rclone|AnyDesk|ScreenConnect|PC Hunter|PowerTool|GMER|TigerVNC|Zed Attack Proxy (ZAP)|WebBrowserPassView|WinSCP|Metasploit|IObit Unlocker|TeamViewer|7zip,RDP|PsExec|Process Explorer|net.exe|bcdedit.exe|cmd.exe|vssadmin.exe|reg.exe|sc.exe|WMI|PowerShell|notepad.exe|mspaint.exe|ping.exe,logs missing|unprotected systems|SMB|delete Shadow Copy|linux ransomware|disable protection|logs cleared|malicious scripts|modify registry|add exclusions|browse network|web shell|install service|AMSI bypass|modify local groups|delete files,,Yes - Both,External Remote Services,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,Yes,29.76,2024-01,8931206,,15
India,1-100,ransomware,Akira,2024-01,0,2024-01,,,,comped creds,,TicketDump|7zip|Firefox Browser|Chrome Browser,RDP|xp_cmdshell|cmd.exe|net.exe|PowerShell|nltest.exe|ping.exe|mmc.exe,MFA unavailable|tamper protection not configured|ESXi|create accounts|modify local groups|Veeam pw dump,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
Canada,3001-5000,network breach,,2024-01,13,2024-01,2024-01,115986,984627,comped creds,,OpenSSH|Advanced IP Scanner|Ngrok,RDP|winrm.exe|DCSync|mmc.exe|dsa.msc|PowerShell|net.exe|quser.exe|qwinsta.exe|hostname.exe|nltest.exe|ping.exe|systeminfo.exe|Task Scheduler|Get-ADComputer|mstsc.exe|WMI,browse network|MFA unavailable|unprotected systems|kerberoast|create scheduled task|delete files|kali (hostname),,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
Germany,101-250,ransomware,LockBit,2023-12,48,2024-01,2024-01,,2505082,exploit vulnerability,encrypted,AnyDesk|SoftPerfect Network Scanner|mimikatz|Impacket|Seatbelt|SharpRoast|Firefox Browser|BulletsPassView|IE PassView|Protected Storage PassView|Remote Desktop PassView|ADFind|Python,RDP|nltest.exe|net.exe|Get-ADComputer|Get-Service|PowerShell,ESXi|MFA unavailable|Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|backdoor|disable protection|logs missing|NTDS dump|install service|modify registry|Wacatac trojan|vulnerable systems|browse network,,Yes - Internal only,External Remote Services,Data Encrypted for Impact,No evidence,,,,,
Germany,101-250,network breach,,2024-01,,,,,,comped creds,,,RDP|whoami.exe|net.exe|nltest.exe,MFA unavailable|lsass dump,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Germany,101-250,network breach,,2024-02,,,,,,exploit vulnerability,,,RDP|PowerShell|whoami.exe|systeminfo.exe|findstr.exe|ipconfig.exe|nltest.exe|net.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966,RDP|Get-User|whoami.exe|PowerShell|Get-Domain|kerberoast|hashcat|PsExec|PsList,Yes - Internal only,Exploit Public-Facing Application,No Impact,No evidence,,,,,
Germany,1001-3000,network breach,,2024-01,,,2024-01,367801,,exploit vulnerability,,OpenArk|AnyDesk,RDP|PsExec|remcomsvc.exe|PsKill,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|vulnerable signed driver|MFA unavailable|install service|brute force attack|CVE-2019-19781,remcomsvc.exe|conhost.exe|WMI|install service|cmd.exe,Yes - Internal only,Exploit Public-Facing Application,No Impact,No evidence,,,,,
Canada,101-250,network breach,,2024-01,2,2024-02,,,,unknown,,RPIVOT|Impacket/wmiexec|7zip|curl|Python,RDP|cmd.exe|PowerShell|rundll32.exe|WMI,unprotected systems|SOCKS proxy|add exclusions|malicious scripts|install service,,Yes - Internal only,unknown,No Impact,,,,,,
Switzerland,251-500,ransomware,Lockbit,2024-01,23,2024-02,2024-01,762770,1210320,exploit vulnerability,cleared|disabled,AnyDesk|ScreenConnect|Impacket/secretsdump|Python|Syncro|TeamViewer|OpenSSH|Greenshot|Chrome Browser,RDP|cmd.exe|PowerShell|reg.exe|msiexec.exe|installutil.exe|sc.exe|nltest.exe|wevtutil.exe|net.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|ESXi|install service|logs missing|logs cleared|SSH|unprotected systems|reverse shell|modify registry|malicious scripts|delete files|music folder,,Yes - Internal only,Exploit Public-Facing Application,Data Encrypted for Impact|Data Manipulation,,,,,,
United States of America,251-500,network breach,,2024-02,1,2024-02,2024-02,4339,69302,comped creds,,Impacket/atexec|PowerRun|Python,RDP|cmd.exe|Task Scheduler|PowerShell|net.exe|reg.exe|netsh.exe|ping.exe|dsquery.exe|dsmod.exe|logoff.exe,MFA unavailable|ESXi|unprotected systems|malicious scripts|reset passwords|modify domain groups|modify firewall rules|modify registry|Veeam pw dump|create scheduled task|enable RDP|disable restricted admin|delete files|SMB,,Yes - External only,External Remote Services,Data Manipulation|Account Access Removal,,,,,,
Germany,101-250,network breach,,2024-01,1,2024-01,2024-01,898393,-1228,exploit vulnerability,,Sliver|PuTTy|WinVNC|7zip,RDP|net.exe|cmd.exe|tasklist.exe|PowerShell|copy.exe|reg.exe|quser.exe|Get-ADUser|sc.exe|findstr.exe|hostname.exe|ipconfig.exe|echo.exe|whoami.exe|winexesvc.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|create accounts|modify domain groups|Wacatac trojan|modify registry|wdigest enabled|modify local groups|brute force attack|reset passwords|SMB|allow reversible encryption|store passwords in plaintext,Citrix Netscaler ADC vuln (Citrix Bleed)|PuTTy|RDP|UltraVNC|PowerShell|modify local groups|brute force attack,Yes - Internal only,Exploit Public-Facing Application,Account Access Removal,No evidence,,,,,
Brazil,251-500,network breach,,2023-10,102,2024-02,,,,comped creds,,Advanced IP Scanner|resocks|ScreenConnect|SurfShark VPN|Private Internet Access VPN,RDP|notepad.exe|PowerShell|systeminfo.exe|ping.exe|mstsc.exe|rundll32.exe|regsvr32.exe|cmd.exe,brute force attack|exposed RDP|exposed internal services|unprotected systems|install service|malicious scripts,,Yes - Both,External Remote Services|Valid Accounts,No Impact,,,,,,
Spain,101-250,network breach,Faust,2024-02,4,2024-02,,,,exploit vulnerability,,AnyDesk|SoftPerfect Network Scanner|Snap2HTML,PowerShell|xp_cmdshell|vssadmin.exe|cmd.exe|net.exe|systeminfo.exe|netstat.exe|whoami.exe,Veeam vulnerability|CVE-2023-27532|vulnerable systems|exposed internal services|create accounts|reset passwords|malicious scripts|delete Shadow Copy|modify firewall rules|enable RDP|modify registry|remove protection|delete files|stop services|delete network shares|install service|delete files,,No,Exploit Public-Facing Application,Data Manipulation|Inhibit System Recovery|Service Stop|Account Access Removal,,,,,,
Canada,101-250,network breach,Nitrogen,2024-02,0,2024-02,2024-02,39979,-173,seo poisoning,,FileZilla|Sliver|Python|Fast!,RDP|PsExec|Task Scheduler|net.exe|ping.exe|cmd.exe|WMI|xcopy.exe|ver.exe|netstat.exe|ipconfig.exe|nltest.exe|query.exe|qwinsta.exe|tasklist.exe|copy.exe,unprotected systems|SMB|Wacatac trojan|create scheduled task|install service|EDR killer|browse network|trojanized application|malicious scripts|lsass dump|create archive,,Yes - Internal only,Drive-by Compromise,No Impact,,,,,,
United States of America,3001-5000,network breach,,2024-02,0,2024-02,2024-02,5944,9723,comped creds,,Impacket|Python,RDP|PowerShell|nltest.exe|notepad.exe|cmd.exe|net.exe|DCSync,MFA unavailable|unprotected systems|unsupported os|global exclusions|lsass dump|SAM dump|CVE-2019-0708|pass the hash,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
United States of America,101-250,data exfiltration,Unknown,2024-02,0,2024-02,,,,exploit vulnerability,,SoftPerfect Network Scanner|Foxit Reader|Rclone,RDP|cmd.exe|net.exe|PowerShell|ipconfig.exe|nslookup.exe|notepad.exe|winword.exe|quser.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|unprotected systems|browse network|Mega (all TLDs),,Yes - Internal only,Exploit Public-Facing Application,No Impact,Yes,31.97,,2771,-1798,
